监测时间,地点,SO2监测浓度(μg/m³),NO2监测浓度(μg/m³),PM10监测浓度(μg/m³),PM2.5监测浓度(μg/m³),O3监测浓度(μg/m³),CO监测浓度(mg/m³),温度(℃),湿度(%),大气压(mBar),风速(m/s),风向(°)
2019/4/16 0:00,监测点C,7,27,7,8,32,0.93,18.6,NULL,1009.8,2,208.3
2019/4/16 1:00,监测点C,7,25,9,6,35,0.924,18.5,NULL,1009.2,1,152.7
2019/4/16 2:00,监测点C,6,25,4,6,37,0.905,18.5,NULL,1008.4,0.6,152.7
2019/4/16 3:00,监测点C,6,22,10,7,44,0.878,18.5,NULL,1007.5,0.9,183.3
2019/4/16 4:00,监测点C,7,21,4,9,45,0.826,18.4,NULL,1006.6,0.8,187.9
2019/4/16 5:00,监测点C,7,21,13,10,43,0.804,18.5,NULL,1006.2,1.3,179.2
2019/4/16 6:00,监测点C,7,26,4,10,36,0.858,18.6,NULL,1007.2,1.1,108.7
2019/4/16 7:00,监测点C,7,29,8,8,27,0.971,18.8,NULL,1008,1.7,158.3
2019/4/16 8:00,监测点C,7,32,8,6,21,1.031,18.9,NULL,1008.8,1.2,251.6
2019/4/16 9:00,监测点C,7,31,2,5,24,1.205,18.4,NULL,1008.6,0.7,203.5
2019/4/16 10:00,监测点C,7,33,1,5,25,1.197,18.7,NULL,1008.6,0.8,314.9
2019/4/16 11:00,监测点C,8,37,11,9,20,1.144,19.3,NULL,1009,1.2,46.1
2019/4/16 12:00,监测点C,8,30,11,11,39,1.041,20.8,NULL,1008.5,1.1,306
2019/4/16 13:00,监测点C,7,32,28,16,48,1.107,21.6,NULL,1007.9,1.4,270
2019/4/16 14:00,监测点C,7,24,20,10,68,0.974,21.9,NULL,1007.2,0.9,282.6
2019/4/16 15:00,监测点C,7,22,12,11,71,0.99,22.5,NULL,1006.8,0.9,240.9
2019/4/16 16:00,监测点C,7,23,8,14,81,0.997,23.6,NULL,1006,1.2,280.4
2019/4/16 17:00,监测点C,7,26,20,15,86,0.967,24.2,NULL,1005.7,1.1,299
2019/4/16 18:00,监测点C,7,29,29,14,81,1.042,24.6,NULL,1005.8,0.6,326.6
2019/4/16 19:00,监测点C,7,32,20,14,73,1.143,24.3,NULL,1005.9,0.6,251
2019/4/16 20:00,监测点C,7,45,34,25,52,1.542,23.5,NULL,1006.2,1,179.3
2019/4/16 21:00,监测点C,7,62,54,31,23,1.905,22.9,NULL,1006.9,0.6,170.5
2019/4/16 22:00,监测点C,8,77,62,32,5,2.203,22.3,NULL,1007.6,0.4,109.4
2019/4/16 23:00,监测点C,8,67,71,32,4,2.766,22.2,NULL,1007.9,0.5,165.7
2019/4/17 0:00,监测点C,8,67,68,30,4,2.252,21.6,NULL,1008,0.5,315.3
2019/4/17 1:00,监测点C,8,62,61,36,4,1.458,21.1,NULL,1007.9,0.3,305.5
2019/4/17 2:00,监测点C,8,50,56,33,4,1.417,21,NULL,1007.6,0.8,188.8
2019/4/17 3:00,监测点C,8,43,37,26,4,1.26,20.6,NULL,1007.1,0.6,173.8
2019/4/17 4:00,监测点C,8,37,36,26,10,1.086,20.1,NULL,1006.5,0.4,154
2019/4/17 5:00,监测点C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019/4/17 6:00,监测点C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019/4/17 7:00,监测点C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019/4/17 8:00,监测点C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019/4/17 9:00,监测点C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019/4/17 10:00,监测点C,12,27,28,24,42,0.985,23.6,NULL,1009.2,1,212
2019/4/17 11:00,监测点C,11,23,27,20,58,0.928,24.5,NULL,1009.1,1.1,265.1
2019/4/17 12:00,监测点C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019/4/17 13:00,监测点C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019/4/17 14:00,监测点C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019/4/17 15:00,监测点C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019/4/17 16:00,监测点C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019/4/17 17:00,监测点C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019/4/17 18:00,监测点C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019/4/17 19:00,监测点C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019/4/17 20:00,监测点C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019/4/17 21:00,监测点C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019/4/17 22:00,监测点C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019/4/17 23:00,监测点C,14,66,104,133,73,1.45,25.2,NULL,1005.9,0.2,210.9
2019/4/18 0:00,监测点C,13,54,99,145,83,1.405,25,NULL,1005.8,0.6,275.5
2019/4/18 1:00,监测点C,13,63,107,160,56,1.571,24.8,NULL,1005.6,0.4,211.4
2019/4/18 2:00,监测点C,15,64,121,177,46,1.505,24.5,NULL,1005,0.5,269.2
2019/4/18 3:00,监测点C,15,54,131,175,61,1.198,24.3,NULL,1004.2,0.8,298.9
2019/4/18 4:00,监测点C,14,70,111,163,32,1.164,24,NULL,1003.7,0.7,309.2
2019/4/18 5:00,监测点C,15,79,100,137,17,1.116,23.8,NULL,1003.7,1,269
2019/4/18 6:00,监测点C,16,73,67,97,15,0.993,23.5,NULL,1004,1,294.7
2019/4/18 7:00,监测点C,14,48,68,62,33,0.82,23.3,NULL,1004.4,1,259.9
2019/4/18 8:00,监测点C,10,61,52,49,18,1.086,22.6,NULL,1004.9,1,200.8
2019/4/18 9:00,监测点C,8,64,39,31,15,1.113,21.9,NULL,1005,1,254.3
2019/4/18 10:00,监测点C,8,62,23,21,20,0.945,21.7,NULL,1005.3,1.1,219
2019/4/18 11:00,监测点C,8,65,23,18,19,0.932,21.6,NULL,1005.3,1.3,195.6
2019/4/18 12:00,监测点C,8,62,33,21,23,1.022,21.7,NULL,1004.9,1.1,184.2
2019/4/18 13:00,监测点C,8,57,50,20,30,1.002,21.6,NULL,1004,1.3,146.1
2019/4/18 14:00,监测点C,8,55,52,18,36,1.004,21.9,NULL,1002.8,1,139.1
2019/4/18 15:00,监测点C,8,61,54,13,32,1.1,21.8,NULL,1001.8,0.9,140.6
2019/4/18 16:00,监测点C,8,63,49,20,30,0.996,21.7,NULL,1001.1,1.2,117.1
2019/4/18 17:00,监测点C,7,82,39,23,14,1.243,21.9,NULL,1000.9,0.9,139
2019/4/18 18:00,监测点C,8,86,42,25,14,1.487,22.1,NULL,1001.2,1,134.1
2019/4/18 19:00,监测点C,8,88,49,29,9,1.74,22.3,NULL,1001.5,1.1,166.8
2019/4/18 20:00,监测点C,7,76,49,26,11,1.357,22.3,NULL,1001.8,1.2,180.8
2019/4/18 21:00,监测点C,7,44,33,17,31,0.931,22,NULL,1002.4,2,183.8
2019/4/18 22:00,监测点C,8,29,22,18,48,0.8,21.9,NULL,1002.9,2.2,180.7
2019/4/18 23:00,监测点C,8,25,24,16,51,0.764,22.2,NULL,1003.2,1.8,182
2019/4/19 0:00,监测点C,8,24,22,18,46,0.762,22.4,NULL,1002.8,1.4,187.3
2019/4/19 1:00,监测点C,8,29,28,21,35,0.807,22.2,NULL,1002,1.5,133.9
2019/4/19 2:00,监测点C,8,33,26,25,25,0.796,22.2,NULL,1001.4,0.8,122
2019/4/19 3:00,监测点C,8,43,30,28,13,0.809,22.2,NULL,1001,1.2,22.9
2019/4/19 4:00,监测点C,8,50,33,29,10,0.815,22.2,NULL,1000.3,1.3,96.4
2019/4/19 5:00,监测点C,8,45,19,22,16,0.745,22.1,NULL,1000.2,1.1,206.9
2019/4/19 6:00,监测点C,8,36,21,16,33,0.643,21.7,NULL,1000.7,0.8,282.9
2019/4/19 7:00,监测点C,8,36,11,12,45,0.621,21.3,NULL,1000.7,1.7,228.1
2019/4/19 8:00,监测点C,8,35,14,10,55,0.722,21.2,NULL,1001,2.3,153.4
2019/4/19 9:00,监测点C,7,26,17,6,76,0.698,20.8,NULL,1001.5,2.2,173.9
2019/4/19 10:00,监测点C,7,28,10,4,66,0.628,20.7,NULL,1002.4,3.1,182.7
2019/4/19 11:00,监测点C,7,30,4,1,68,0.59,20.2,NULL,1002.4,1.9,222.8
2019/4/19 12:00,监测点C,8,43,9,4,62,0.653,19.9,NULL,1002.7,1.9,193.9
2019/4/19 13:00,监测点C,7,31,14,5,70,0.677,20.2,NULL,1002,1.6,189.6
2019/4/19 14:00,监测点C,7,26,15,2,79,0.632,20.6,NULL,1001.7,2,190.2
2019/4/19 15:00,监测点C,7,24,9,2,84,0.697,20.9,NULL,1000.9,1.3,202
2019/4/19 16:00,监测点C,7,28,16,5,78,0.671,20.9,NULL,1000.3,0.9,236.5
2019/4/19 17:00,监测点C,7,26,13,6,78,0.654,20.8,NULL,1000,0.8,246.8
2019/4/19 18:00,监测点C,7,38,18,10,62,0.943,20.9,NULL,999.8,0.6,234.5
2019/4/19 19:00,监测点C,7,43,32,52,54,1.191,21,NULL,1000.5,0.6,193.7
2019/4/19 20:00,监测点C,7,50,39,33,43,1.293,21.2,NULL,1001.2,0.5,271.4
2019/4/19 21:00,监测点C,7,46,37,24,42,1.044,21.2,NULL,1002.1,0.7,279.5
2019/4/19 22:00,监测点C,7,36,24,15,51,0.836,21.2,NULL,1002.7,0.8,158.7
2019/4/19 23:00,监测点C,8,62,25,18,20,0.954,21.3,NULL,1003.1,0.4,20.5
2019/4/20 0:00,监测点C,8,51,30,27,21,0.84,20.9,NULL,1003.4,0.9,52.4
2019/4/20 1:00,监测点C,10,34,28,27,38,0.75,20.7,NULL,1003.3,0.5,57
2019/4/20 2:00,监测点C,10,35,29,29,33,0.842,20.8,NULL,1002.4,0.7,244.4
2019/4/20 3:00,监测点C,9,40,29,27,17,0.854,20.7,NULL,1001.5,0.4,302.2
2019/4/20 4:00,监测点C,9,40,28,31,15,0.899,20.8,NULL,1001.1,0.4,131
2019/4/20 5:00,监测点C,8,39,34,33,16,0.911,20.7,NULL,1000.8,0.6,140.2
2019/4/20 6:00,监测点C,8,27,18,20,32,0.71,20.6,NULL,1001.2,0.4,123.1
2019/4/20 7:00,监测点C,8,48,21,24,11,0.887,20.7,NULL,1001.8,0.4,353.1
2019/4/20 8:00,监测点C,8,50,33,24,8,1.196,20.8,NULL,1001.8,0.8,166.4
2019/4/20 9:00,监测点C,8,39,32,14,31,0.976,21.2,NULL,1001.6,1.9,131.1
2019/4/20 10:00,监测点C,8,27,11,4,83,0.639,21,NULL,1002.1,1.7,71.5
2019/4/20 11:00,监测点C,7,40,7,5,65,0.815,20.5,NULL,1001.7,1.1,48.5
2019/4/20 12:00,监测点C,7,49,19,8,51,0.949,20.5,NULL,1001.7,1.3,159.3
2019/4/20 13:00,监测点C,7,40,30,9,52,0.975,20.6,NULL,1002,1.2,181.3
2019/4/20 14:00,监测点C,7,27,24,4,68,0.802,20.9,NULL,1000.3,1.4,192.2
2019/4/20 15:00,监测点C,7,19,12,2,80,0.677,23,NULL,999,1.8,208.2
2019/4/20 16:00,监测点C,7,17,12,4,86,0.596,24.2,NULL,999.2,1.3,268.9
2019/4/20 17:00,监测点C,7,28,22,9,77,0.694,24.3,NULL,999.2,1,304.4
2019/4/20 18:00,监测点C,8,41,27,19,62,0.766,24.1,NULL,999.6,0.9,324.3
2019/4/20 19:00,监测点C,8,43,32,26,58,0.87,23.8,NULL,1000.3,0.6,289.1
2019/4/20 20:00,监测点C,8,63,38,32,31,1.373,23.6,NULL,1000.8,0.4,16.4
2019/4/20 21:00,监测点C,8,77,48,34,12,1.906,23.4,NULL,1001.4,0.4,97.3
2019/4/20 22:00,监测点C,8,77,57,33,6,1.936,23.4,NULL,1002.1,0.3,27.3
2019/4/20 23:00,监测点C,9,74,64,36,4,1.812,23,NULL,1002.6,0.5,339.9
2019/4/21 0:00,监测点C,9,71,65,42,5,2.229,23,NULL,1002.7,0.4,153.4
2019/4/21 1:00,监测点C,8,63,74,46,5,2.365,22.8,NULL,1002.4,0.5,170.3
2019/4/21 2:00,监测点C,8,54,62,46,4,2.012,22.7,NULL,1001.8,0.4,169.1
2019/4/21 3:00,监测点C,8,48,54,39,4,1.593,22.6,NULL,1001.2,0.7,185.9
2019/4/21 4:00,监测点C,8,45,47,33,5,1.242,22.4,NULL,1000.8,0.8,169.8
2019/4/21 5:00,监测点C,8,37,32,28,11,0.883,22.3,NULL,1000.8,1,180.8
2019/4/21 6:00,监测点C,8,38,26,33,9,0.813,22.4,NULL,1001.3,0.7,191.2
2019/4/21 7:00,监测点C,10,41,33,47,9,0.865,22.2,NULL,1001.9,0.7,168.3
2019/4/21 8:00,监测点C,10,41,44,52,16,0.91,22.4,NULL,1002.5,0.6,172.9
2019/4/21 9:00,监测点C,10,39,43,41,25,0.999,22.6,NULL,1002.7,0.7,169.5
2019/4/21 10:00,监测点C,9,41,50,34,27,1.016,22.5,NULL,1003.2,0.6,158.7
2019/4/21 11:00,监测点C,9,40,31,26,31,1.003,22.4,NULL,1003.4,0.8,184.7
2019/4/21 12:00,监测点C,9,46,36,22,29,0.946,22.8,NULL,1003.1,1.2,192.8
2019/4/21 13:00,监测点C,8,42,49,22,26,0.92,23.1,NULL,1002.6,0.8,196.8
2019/4/21 14:00,监测点C,8,43,51,21,24,1.017,23.9,NULL,1002.1,0.6,157.6
2019/4/21 15:00,监测点C,8,47,50,22,19,1.18,24.3,NULL,1001.5,0.6,247.6
2019/4/21 16:00,监测点C,8,45,42,21,21,1.073,24.7,NULL,1000.7,0.5,237.3
2019/4/21 17:00,监测点C,8,56,48,24,16,1.275,25.5,NULL,1000.3,0.4,168.7
2019/4/21 18:00,监测点C,8,58,53,22,8,1.347,24.9,NULL,1000.2,0.7,262.3
2019/4/21 19:00,监测点C,8,58,54,22,5,1.556,24.5,NULL,1000.7,0.8,194.9
2019/4/21 20:00,监测点C,8,56,59,24,5,1.534,24.2,NULL,1001.1,0.8,171.6
2019/4/21 21:00,监测点C,8,51,48,21,5,1.315,24,NULL,1001.9,0.9,203.8
2019/4/21 22:00,监测点C,8,50,38,23,5,1.291,24.1,NULL,1002.7,1.3,181.3
2019/4/21 23:00,监测点C,8,47,38,27,6,1.009,24.3,NULL,1003.5,1.1,179.1
2019/4/22 0:00,监测点C,9,48,45,29,4,1.287,24.2,NULL,1003.5,0.7,160.5
2019/4/22 1:00,监测点C,9,46,44,26,4,1.235,24.1,NULL,1002.9,1.1,154.4
2019/4/22 2:00,监测点C,8,44,40,28,4,1.219,23.8,NULL,1002.4,0.8,129.5
2019/4/22 3:00,监测点C,8,44,40,29,4,1.118,23.7,NULL,1001.8,1,137.9
2019/4/22 4:00,监测点C,8,43,37,26,4,0.886,23.6,NULL,1001.4,1.2,56.3
2019/4/22 5:00,监测点C,8,41,35,22,4,0.822,23.5,NULL,1001.4,0.7,156.5
2019/4/22 6:00,监测点C,8,40,28,20,4,0.922,23.5,NULL,1001.4,1,194.8
2019/4/22 7:00,监测点C,8,39,30,23,4,1.066,23.5,NULL,1002,1.1,143.2
2019/4/22 8:00,监测点C,8,41,36,25,5,1.883,23.4,NULL,1002.4,0.8,176.6
2019/4/22 9:00,监测点C,8,42,44,24,5,2.076,23.5,NULL,1002.7,0.9,179.8
2019/4/22 10:00,监测点C,8,43,71,26,6,1.956,23.9,NULL,1003,0.6,167.3
2019/4/22 11:00,监测点C,8,48,52,31,5,1.953,25.2,NULL,1003.5,0.6,131.8
2019/4/22 12:00,监测点C,8,48,59,34,5,2.036,25.1,NULL,1003.5,0.8,123.3
2019/4/22 13:00,监测点C,8,50,84,33,5,2.165,25.2,NULL,1003.2,0.7,81
2019/4/22 14:00,监测点C,8,44,66,21,21,1.526,24.8,NULL,1002.7,2,161.6
2019/4/22 15:00,监测点C,7,21,18,NA,65,0.708,22.5,NULL,1002.4,2.7,188
