监测时间,地点,SO2监测浓度(μg/m³),NO2监测浓度(μg/m³),PM10监测浓度(μg/m³),PM2.5监测浓度(μg/m³),O3监测浓度(μg/m³),CO监测浓度(mg/m³),温度(℃),湿度(%),近地风速(m/s),风向(°)
2019/4/16 0:00,监测点A1,8,55,46,26,6,1.2,0,0,0,0
2019/4/16 1:00,监测点A1,7,56,48,39,5,1,0,0,0,0
2019/4/16 2:00,监测点A1,7,62,15,12,6,0.9,0,0,0,0
2019/4/16 3:00,监测点A1,6,50,12,14,18,0.8,0,0,0,0
2019/4/16 4:00,监测点A1,8,39,34,33,27,0.7,0,0,0,0
2019/4/16 5:00,监测点A1,11,37,41,41,31,0.7,0,0,0,0
2019/4/16 6:00,监测点A1,8,43,58,48,29,0.7,0,0,0,0
2019/4/16 7:00,监测点A1,8,39,61,48,29,0.8,0,0,0,0
2019/4/16 8:00,监测点A1,7,55,59,47,16,0.8,0,0,0,0
2019/4/16 9:00,监测点A1,7,43,33,58,30,0.8,0,0,0,0
2019/4/16 10:00,监测点A1,8,42,13,32,34,0.8,0,0,0,0
2019/4/16 11:00,监测点A1,8,50,23,13,28,0.8,0,0,0,0
2019/4/16 12:00,监测点A1,14,47,10,6,44,0.9,0,0,0,0
2019/4/16 13:00,监测点A1,18,39,24,25,73,0.8,0,0,0,0
2019/4/16 14:00,监测点A1,9,32,27,26,124,0.7,0,0,0,0
2019/4/16 15:00,监测点A1,7,32,33,24,170,0.7,0,0,0,0
2019/4/16 16:00,监测点A1,8,44,38,30,161,0.8,0,0,0,0
2019/4/16 17:00,监测点A1,9,49,56,42,145,0.8,0,0,0,0
2019/4/16 18:00,监测点A1,9,40,66,52,118,0.8,0,0,0,0
2019/4/16 19:00,监测点A1,8,42,57,40,82,0.9,0,0,0,0
2019/4/16 20:00,监测点A1,7,54,67,43,49,0.9,0,0,0,0
2019/4/16 21:00,监测点A1,9,84,66,367,20,1.1,0,0,0,0
2019/4/16 22:00,监测点A1,11,95,76,53,10,1.1,0,0,0,0
2019/4/16 23:00,监测点A1,12,90,75,48,7,1.2,0,0,0,0
2019/4/17 0:00,监测点A1,11,87,97,56,6,1.2,0,0,0,0
2019/4/17 1:00,监测点A1,11,83,97,55,6,1.2,0,0,0,0
2019/4/17 2:00,监测点A1,12,74,93,47,6,1.4,0,0,0,0
2019/4/17 3:00,监测点A1,11,76,107,57,7,1.2,0,0,0,0
2019/4/17 4:00,监测点A1,11,78,98,57,8,1.3,0,0,0,0
2019/4/17 5:00,监测点A1,13,87,98,65,6,1.3,0,0,0,0
2019/4/17 6:00,监测点A1,13,84,121,78,6,1.4,0,0,0,0
2019/4/17 7:00,监测点A1,14,86,119,83,7,1.6,0,0,0,0
2019/4/17 8:00,监测点A1,18,99,121,73,11,1.6,0,0,0,0
2019/4/17 9:00,监测点A1,18,99,109,69,19,1.4,0,0,0,0
2019/4/17 10:00,监测点A1,20,77,94,58,41,1.1,0,0,0,0
2019/4/17 11:00,监测点A1,17,80,77,33,65,1,0,0,0,0
2019/4/17 12:00,监测点A1,17,71,85,49,107,1,0,0,0,0
2019/4/17 13:00,监测点A1,21,54,86,42,170,1,0,0,0,0
2019/4/17 14:00,监测点A1,24,43,80,54,239,0.9,0,0,0,0
2019/4/17 15:00,监测点A1,16,50,87,63,291,1,0,0,0,0
2019/4/17 16:00,监测点A1,11,66,112,78,289,1.2,0,0,0,0
2019/4/17 17:00,监测点A1,12,61,139,84,296,1.1,0,0,0,0
2019/4/17 18:00,监测点A1,10,60,145,94,198,1.1,0,0,0,0
2019/4/17 19:00,监测点A1,9,47,119,79,141,1,0,0,0,0
2019/4/17 20:00,监测点A1,10,47,103,59,104,1.1,0,0,0,0
2019/4/17 21:00,监测点A1,12,47,89,59,75,1,0,0,0,0
2019/4/17 22:00,监测点A1,11,36,75,45,67,0.9,0,0,0,0
2019/4/17 23:00,监测点A1,12,23,60,31,83,0.8,0,0,0,0
2019/4/18 0:00,监测点A1,12,16,49,26,93,0.7,0,0,0,0
2019/4/18 1:00,监测点A1,9,11,34,23,96,0.6,0,0,0,0
2019/4/18 2:00,监测点A1,9,15,30,11,90,0.6,0,0,0,0
2019/4/18 3:00,监测点A1,10,31,41,7,50,0.7,0,0,0,0
2019/4/18 4:00,监测点A1,10,35,60,43,44,0.7,0,0,0,0
2019/4/18 5:00,监测点A1,19,33,49,21,58,0.7,0,0,0,0
2019/4/18 6:00,监测点A1,22,40,39,31,53,0.7,0,0,0,0
2019/4/18 7:00,监测点A1,18,38,41,29,56,0.8,0,0,0,0
2019/4/18 8:00,监测点A1,11,39,41,31,58,1,0,0,0,0
2019/4/18 9:00,监测点A1,10,38,42,24,64,0.9,0,0,0,0
2019/4/18 10:00,监测点A1,10,43,50,34,66,0.8,0,0,0,0
2019/4/18 11:00,监测点A1,26,48,57,28,68,0.8,0,0,0,0
2019/4/18 12:00,监测点A1,26,45,62,30,74,0.8,0,0,0,0
2019/4/18 13:00,监测点A1,23,43,55,24,72,0.7,0,0,0,0
2019/4/18 14:00,监测点A1,13,47,48,26,59,0.8,0,0,0,0
2019/4/18 15:00,监测点A1,21,69,41,16,33,0.8,0,0,0,0
2019/4/18 16:00,监测点A1,13,52,56,20,45,0.8,0,0,0,0
2019/4/18 17:00,监测点A1,11,60,48,28,31,0.9,0,0,0,0
2019/4/18 18:00,监测点A1,10,58,37,27,25,0.9,0,0,0,0
2019/4/18 19:00,监测点A1,9,50,33,27,30,0.8,0,0,0,0
2019/4/18 20:00,监测点A1,8,48,41,19,29,0.8,0,0,0,0
2019/4/18 21:00,监测点A1,7,39,35,17,32,0.7,0,0,0,0
2019/4/18 22:00,监测点A1,8,29,33,23,40,0.7,0,0,0,0
2019/4/18 23:00,监测点A1,9,30,22,9,44,0.6,0,0,0,0
2019/4/19 0:00,监测点A1,9,21,20,6,61,0.6,0,0,0,0
2019/4/19 1:00,监测点A1,12,30,17,7,49,0.6,0,0,0,0
2019/4/19 2:00,监测点A1,11,30,27,10,39,0.6,0,0,0,0
2019/4/19 3:00,监测点A1,10,26,28,12,37,0.6,0,0,0,0
2019/4/19 4:00,监测点A1,10,32,23,13,29,0.6,0,0,0,0
2019/4/19 5:00,监测点A1,10,35,33,14,26,0.6,0,0,0,0
2019/4/19 6:00,监测点A1,10,52,31,16,13,0.7,0,0,0,0
2019/4/19 7:00,监测点A1,19,60,37,21,9,0.9,0,0,0,0
2019/4/19 8:00,监测点A1,23,60,53,26,13,1,0,0,0,0
2019/4/19 9:00,监测点A1,24,58,59,23,11,1,0,0,0,0
2019/4/19 10:00,监测点A1,27,62,62,24,8,1.1,0,0,0,0
2019/4/19 11:00,监测点A1,16,60,75,46,9,0.9,0,0,0,0
2019/4/19 12:00,监测点A1,9,30,64,40,72,0.6,0,0,0,0
2019/4/19 13:00,监测点A1,8,32,21,0,83,0.6,0,0,0,0
2019/4/19 14:00,监测点A1,9,42,12,1,77,0.6,0,0,0,0
2019/4/19 15:00,监测点A1,9,44,15,19,80,0.6,0,0,0,0
2019/4/19 16:00,监测点A1,9,57,18,13,66,0.7,0,0,0,0
2019/4/19 17:00,监测点A1,13,75,23,255,48,0.9,0,0,0,0
2019/4/19 18:00,监测点A1,12,69,33,0,48,0.9,0,0,0,0
2019/4/19 19:00,监测点A1,15,56,35,5,51,0.7,0,0,0,0
2019/4/19 20:00,监测点A1,13,69,40,16,32,0.8,0,0,0,0
2019/4/19 21:00,监测点A1,12,62,40,16,31,0.8,0,0,0,0
2019/4/19 22:00,监测点A1,16,70,40,16,20,0.9,0,0,0,0
2019/4/19 23:00,监测点A1,15,68,48,32,17,0.8,0,0,0,0
2019/4/20 0:00,监测点A1,11,58,53,27,17,0.7,0,0,0,0
2019/4/20 1:00,监测点A1,11,73,46,24,6,0.8,0,0,0,0
2019/4/20 2:00,监测点A1,11,74,52,40,5,0.9,0,0,0,0
2019/4/20 3:00,监测点A1,12,71,65,27,5,0.8,0,0,0,0
2019/4/20 4:00,监测点A1,12,69,59,38,5,0.8,0,0,0,0
2019/4/20 5:00,监测点A1,14,69,62,50,5,1,0,0,0,0
