监测时间,地点,SO2监测浓度(μg/m³),NO2监测浓度(μg/m³),PM10监测浓度(μg/m³),PM2.5监测浓度(μg/m³),O3监测浓度(μg/m³),CO监测浓度(mg/m³),温度(℃),湿度(%),气压(MBar),近地风速(m/s),风向(°)
2019/4/16,监测点A2,2.1739130434782608,54.78260869565217,41.82608695652174,29.347826086956523,39.21739130434783,1.0347826086956522,21.152173913043477,77.52173913043478,1009.9347826086956,1.1772727272727272,
2019/4/17,监测点A2,6.739130434782608,63.391304347826086,87.82608695652173,56.391304347826086,82.34782608695652,1.308695652173913,23.7695652173913,69.52173913043478,1009.3086956521738,0.7235294117647058,
2019/4/18,监测点A2,3.227272727272727,41.5,42.17391304347826,25.782608695652176,44.40909090909091,0.8636363636363638,23.769565217391307,76.69565217391305,1006.3695652173913,1.0434782608695654,
2019/4/19,监测点A2,1.9130434782608696,41.34782608695652,24.347826086956523,15.782608695652174,40.869565217391305,0.7391304347826086,22.221739130434788,81.73913043478261,1004.1782608695653,1.334782608695652,
2019/4/20,监测点A2,2.8260869565217392,53.17391304347826,41.17391304347826,28.82608695652174,12.0,0.9565217391304346,22.334782608695654,83.21739130434783,1003.9739130434782,0.8173913043478259,
2019/4/21,监测点A2,4.217391304347826,48.08695652173913,48.869565217391305,30.391304347826086,12.571428571428571,1.017391304347826,24.30869565217391,82.78260869565217,1004.4869565217392,0.5869565217391305,
2019/4/22,监测点A2,3.652173913043478,25.217391304347824,35.52173913043478,19.347826086956523,26.42105263157895,0.7782608695652175,26.486956521739128,76.21739130434783,1005.6173913043477,1.304545454545455,
2019/4/23,监测点A2,4.130434782608695,19.565217391304348,34.30434782608695,19.08695652173913,27.652173913043477,0.7086956521739127,27.98695652173913,69.26086956521739,1006.9869565217392,1.3608695652173914,
2019/4/24,监测点A2,4.217391304347826,15.91304347826087,28.782608695652176,16.869565217391305,41.47826086956522,0.5999999999999999,28.2,66.69565217391305,1006.3869565217393,1.7217391304347827,
2019/4/25,监测点A2,3.4285714285714284,23.38095238095238,40.608695652173914,23.82608695652174,38.95238095238095,0.6523809523809524,28.72608695652174,64.3913043478261,1006.0521739130434,1.3043478260869565,
2019/4/26,监测点A2,6.157894736842105,38.75,89.56521739130434,110.30434782608695,31.227272727272727,0.7421052631578948,27.704347826086963,70.43478260869566,1006.9608695652175,0.9956521739130437,
2019/4/27,监测点A2,2.6956521739130435,53.73913043478261,27.565217391304348,15.391304347826088,31.08695652173913,0.791304347826087,22.782608695652176,79.34782608695652,1009.6217391304348,1.3304347826086955,
2019/4/28,监测点A2,3.608695652173913,43.52173913043478,44.0,24.565217391304348,42.08695652173913,0.7999999999999999,24.517391304347825,74.47826086956522,1009.9043478260869,1.2217391304347827,
2019/4/29,监测点A2,5.0476190476190474,35.095238095238095,93.80952380952381,69.95238095238095,40.23809523809524,0.7428571428571427,26.809523809523814,69.95238095238095,1007.0904761904762,1.7476190476190478,
2019/4/30,监测点A2,3.869565217391304,35.08695652173913,36.52173913043478,18.652173913043477,48.95652173913044,0.8478260869565221,25.726086956521737,72.65217391304348,1005.1739130434783,1.0434782608695652,
2019/5/1,监测点A2,3.260869565217391,28.26086956521739,36.56521739130435,14.869565217391305,44.52173913043478,1.0000000000000002,22.7,61.869565217391305,1007.282608695652,2.1217391304347832,
2019/5/2,监测点A2,1.7272727272727273,35.09090909090909,30.695652173913043,20.956521739130434,31.727272727272727,0.8863636363636366,20.77826086956522,72.04347826086956,1010.0695652173912,1.4,
2019/5/3,监测点A2,3.130434782608696,39.69565217391305,50.608695652173914,27.347826086956523,60.130434782608695,0.6913043478260869,21.543478260869566,67.56521739130434,1011.7913043478261,1.0217391304347827,
2019/5/4,监测点A2,3.391304347826087,60.52173913043478,66.17391304347827,34.08695652173913,45.04347826086956,0.6304347826086955,20.400000000000002,68.26086956521739,1010.682608695652,0.790909090909091,
2019/5/5,监测点A2,2.608695652173913,53.56521739130435,32.82608695652174,23.695652173913043,16.91304347826087,0.7043478260869568,19.12173913043478,84.6086956521739,1007.1347826086958,0.9391304347826085,
2019/5/6,监测点A2,2.5217391304347827,48.04347826086956,22.304347826086957,15.391304347826088,12.347826086956522,0.6652173913043476,19.956521739130434,85.34782608695652,1006.2304347826088,1.1130434782608696,
2019/5/7,监测点A2,2.739130434782609,44.95652173913044,25.26086956521739,16.17391304347826,20.08695652173913,0.6478260869565217,20.139130434782608,80.91304347826087,1007.6608695652172,1.0086956521739132,
2019/5/8,监测点A2,3.5454545454545454,42.857142857142854,29.90909090909091,22.17391304347826,7.590909090909091,0.740909090909091,19.791304347826088,83.43478260869566,1006.8869565217392,0.8652173913043477,
2019/5/9,监测点A2,2.6363636363636362,42.0,34.04347826086956,17.272727272727273,22.217391304347824,4.495238095238094,22.378260869565214,74.04347826086956,1005.8347826086957,0.8136363636363639,
2019/5/10,监测点A2,5.260869565217392,48.130434782608695,60.82608695652174,23.565217391304348,40.04347826086956,0.8826086956521741,25.291304347826085,64.43478260869566,1006.9956521739131,0.8333333333333334,
2019/5/11,监测点A2,10.391304347826088,43.30434782608695,73.0,40.391304347826086,102.08695652173913,0.8173913043478263,26.386956521739133,65.52173913043478,1008.2826086956521,0.795,
2019/5/12,监测点A2,7.681818181818182,34.36363636363637,58.95652173913044,25.956521739130434,86.52173913043478,0.634782608695652,26.947826086956525,58.78260869565217,1007.8478260869565,0.859090909090909,
2019/5/13,监测点A2,6.818181818181818,37.65217391304348,52.91304347826087,24.08695652173913,53.130434782608695,0.6782608695652171,27.791304347826085,64.26086956521739,1007.0173913043479,0.8772727272727273,
2019/5/14,监测点A2,6.260869565217392,25.043478260869566,38.73913043478261,18.26086956521739,51.56521739130435,0.5869565217391303,28.017391304347825,68.04347826086956,1005.9652173913043,1.2608695652173914,
2019/5/15,监测点A2,6.136363636363637,24.434782608695652,34.95652173913044,15.391304347826088,32.69565217391305,0.626086956521739,28.06086956521739,73.3913043478261,1005.7782608695651,1.391304347826087,
2019/5/16,监测点A2,4.476190476190476,20.19047619047619,37.23809523809524,14.31578947368421,37.95454545454545,0.559090909090909,30.126086956521732,66.21739130434783,1003.704347826087,1.6304347826086956,
2019/5/17,监测点A2,4.181818181818182,19.782608695652176,37.17391304347826,13.347826086956522,39.04347826086956,0.5739130434782607,30.134782608695648,67.3913043478261,1001.7478260869567,1.5869565217391304,
2019/5/18,监测点A2,6.043478260869565,18.73913043478261,37.47826086956522,14.130434782608695,57.82608695652174,0.5739130434782607,30.491304347826084,66.08695652173913,1001.282608695652,2.134782608695652,
2019/5/19,监测点A2,4.136363636363637,14.590909090909092,35.391304347826086,11.695652173913043,66.95652173913044,0.5652173913043476,30.939130434782616,65.6086956521739,1003.0304347826086,2.017391304347826,
2019/5/20,监测点A2,3.6956521739130435,29.608695652173914,38.30434782608695,10.73913043478261,67.1304347826087,0.6478260869565218,29.130434782608692,64.95652173913044,1005.2434782608697,1.9304347826086958,
2019/5/21,监测点A2,3.727272727272727,41.869565217391305,50.36363636363637,24.59090909090909,54.91304347826087,0.7695652173913045,26.217391304347824,65.73913043478261,1007.5695652173912,1.0782608695652174,
2019/5/22,监测点A2,5.739130434782608,28.869565217391305,49.43478260869565,26.217391304347824,89.8695652173913,0.7130434782608696,26.195652173913043,69.65217391304348,1006.7695652173913,1.1434782608695655,
2019/5/23,监测点A2,2.4545454545454546,45.26086956521739,47.34782608695652,26.73913043478261,44.30434782608695,0.834782608695652,25.578260869565216,79.6086956521739,1006.8608695652175,1.0217391304347827,
2019/5/24,监测点A2,2.217391304347826,35.56521739130435,47.21739130434783,23.347826086956523,59.69565217391305,0.7217391304347825,25.839130434782607,75.04347826086956,1007.3434782608695,1.1260869565217393,
2019/5/25,监测点A2,2.3181818181818183,28.391304347826086,32.91304347826087,14.73913043478261,38.43478260869565,0.652173913043478,26.130434782608695,77.30434782608695,1005.6217391304349,1.0043478260869565,
2019/5/26,监测点A2,4.0,22.043478260869566,17.045454545454547,7.0476190476190474,48.0,0.6086956521739129,26.460869565217386,76.95652173913044,1004.2652173913043,1.2956521739130435,
2019/5/27,监测点A2,4.7727272727272725,26.695652173913043,19.91304347826087,6.954545454545454,50.30434782608695,0.6043478260869564,27.108695652173914,73.65217391304348,1005.1782608695652,1.4608695652173913,
2019/5/28,监测点A2,4.826086956521739,39.0,30.565217391304348,14.695652173913043,52.69565217391305,0.7347826086956519,27.417391304347827,75.43478260869566,1006.0782608695652,1.1565217391304348,
2019/5/29,监测点A2,2.347826086956522,46.56521739130435,26.869565217391305,16.608695652173914,21.869565217391305,0.7782608695652173,25.382608695652177,83.8695652173913,1006.9608695652172,1.3391304347826087,
2019/5/30,监测点A2,3.1739130434782608,39.47826086956522,36.333333333333336,15.904761904761905,47.0,0.682608695652174,25.286956521739135,76.8695652173913,1007.2913043478261,1.3,
2019/5/31,监测点A2,3.090909090909091,40.26086956521739,38.34782608695652,17.26086956521739,38.130434782608695,0.7695652173913045,26.07826086956522,79.26086956521739,1005.913043478261,1.2000000000000002,
2019/6/1,监测点A2,3.347826086956522,31.304347826086957,25.73913043478261,13.782608695652174,35.130434782608695,0.8217391304347824,27.156521739130437,78.3913043478261,1004.5695652173914,1.2608695652173914,
2019/6/2,监测点A2,5.0,26.52173913043478,22.0,9.136363636363637,28.73913043478261,0.708695652173913,26.630434782608695,79.52173913043478,1004.2608695652174,1.4739130434782608,
2019/6/3,监测点A2,3.347826086956522,28.869565217391305,23.347826086956523,9.73913043478261,47.608695652173914,0.8217391304347825,28.200000000000006,74.17391304347827,1004.1782608695652,1.4478260869565216,
2019/6/4,监测点A2,4.043478260869565,34.82608695652174,28.434782608695652,11.043478260869565,34.0,0.7739130434782607,27.526086956521734,76.95652173913044,1006.0478260869567,1.326086956521739,
2019/6/5,监测点A2,5.173913043478261,34.78260869565217,34.52173913043478,16.217391304347824,15.91304347826087,0.8999999999999998,28.352173913043476,75.95652173913044,1006.5434782608696,1.3565217391304347,
2019/6/6,监测点A2,5.565217391304348,20.608695652173914,22.857142857142858,8.636363636363637,35.43478260869565,0.643478260869565,29.808695652173913,69.95652173913044,1007.3434782608695,1.9347826086956526,
2019/6/7,监测点A2,4.608695652173913,13.478260869565217,18.91304347826087,3.142857142857143,43.43478260869565,0.5956521739130434,30.74782608695652,64.95652173913044,1007.3913043478261,2.0130434782608693,
2019/6/8,监测点A2,3.608695652173913,11.478260869565217,16.130434782608695,2.5,39.82608695652174,0.5391304347826086,31.104347826086947,61.130434782608695,1005.4260869565217,2.1913043478260867,
2019/6/9,监测点A2,2.9130434782608696,13.0,20.782608695652176,3.9047619047619047,34.56521739130435,0.5782608695652173,31.38695652173914,60.69565217391305,1002.2521739130437,2.360869565217391,
2019/6/10,监测点A2,2.9130434782608696,21.782608695652176,23.434782608695652,5.0,39.52173913043478,0.6391304347826087,29.695652173913043,68.73913043478261,1000.3260869565217,2.034782608695653,
2019/6/11,监测点A2,3.5217391304347827,43.43478260869565,25.043478260869566,13.130434782608695,34.34782608695652,0.8043478260869567,26.54782608695652,80.43478260869566,1002.0,1.3,
2019/6/12,监测点A2,4.086956521739131,44.95652173913044,31.565217391304348,11.666666666666666,38.91304347826087,0.8260869565217392,26.91304347826087,79.43478260869566,1002.6086956521738,1.065217391304348,
