监测时间,地点,SO2监测浓度(μg/m³),NO2监测浓度(μg/m³),PM10监测浓度(μg/m³),PM2.5监测浓度(μg/m³),O3监测浓度(μg/m³),CO监测浓度(mg/m³),温度(℃),湿度(%),气压(MBar),近地风速(m/s),风向(°)
2019/4/16 0:00,监测点A2,3,57,61,42,1,1.3,20,86,1012.2,1.5,28
2019/4/16 1:00,监测点A2,2,63,59,42,1,1,19.4,86,1011.4,1,14.1
2019/4/16 2:00,监测点A2,2,49,18,18,8,1,19,87,1010.3,1,5
2019/4/16 3:00,监测点A2,1,31,27,24,30,0.9,19,86,1009.3,1.3,7.7
2019/4/16 4:00,监测点A2,1,31,42,36,32,0.8,19,85,1009,1.3,8.6
2019/4/16 5:00,监测点A2,1,32,41,30,28,0.9,19,84,1009,0.8,9.9
2019/4/16 6:00,监测点A2,1,44,39,32,13,0.9,20,84,1009.4,0.7,25.3
2019/4/16 7:00,监测点A2,2,50,51,42,12,1,19.3,85,1010.6,1.4,9.8
2019/4/16 8:00,监测点A2,1,58,41,41,11,1,19,87,1011.8,2.5,21
2019/4/16 9:00,监测点A2,2,54,25,20,13,1,19,86,1012,1,5.8
2019/4/16 10:00,监测点A2,2,41,14,16,25,1,19.9,82,1012,0.5,11.9
2019/4/16 11:00,监测点A2,2,45,15,9,30,1,20.1,82,1011.4,1.5,16.8
2019/4/16 12:00,监测点A2,3,49,17,11,40,0.9,21,79,1010.1,1.4,17.9
2019/4/16 13:00,监测点A2,4,47,21,20,53,0.9,22.3,73,1009.9,0.9,27.8
2019/4/16 14:00,监测点A2,3,39,29,18,93,0.9,24.1,64,1008.7,1.3,20.9
2019/4/16 15:00,监测点A2,2,39,31,20,108,0.9,25,61,1008,1.9,29
2019/4/16 16:00,监测点A2,2,43,30,18,143,0.9,24.7,63,1008.1,1.7,24.4
2019/4/16 17:00,监测点A2,2,45,55,40,123,1,24,65,1008.2,1.8,26.3
2019/4/16 18:00,监测点A2,2,55,53,30,70,1,23.3,67,1008,1.3,19
2019/4/16 19:00,监测点A2,3,91,56,33,34,1.2,23,70,1008.6,0.5,30.2
2019/4/16 20:00,监测点A2,3,84,73,41,29,1.3,22.4,72,1009.7,0.2,30.3
2019/4/16 21:00,监测点A2,3,108,81,45,3,1.4,22,74,1010,0.4,22
2019/4/16 22:00,监测点A2,3,105,83,47,2,1.6,22,75,1010.8,0,34.5
2019/4/16 23:00,监测点A2,3,94,94,55,1,1.6,21.2,78,1011,0,17
2019/4/17 0:00,监测点A2,4,93,87,50,1,1.7,21,80,1010.2,0,8
2019/4/17 1:00,监测点A2,4,88,93,55,1,1.7,21,81,1010,0,4
2019/4/17 2:00,监测点A2,4,81,88,57,1,1.7,21,81,1009.8,0,35
2019/4/17 3:00,监测点A2,4,78,96,59,1,1.6,21,82,1009,0,35
2019/4/17 4:00,监测点A2,4,80,83,54,1,1.5,21,82,1009,0,34.3
2019/4/17 5:00,监测点A2,4,81,76,51,1,1.6,21,82,1009,0,30
2019/4/17 6:00,监测点A2,6,85,89,63,1,1.7,20.5,83,1010,0.1,9.4
2019/4/17 7:00,监测点A2,7,95,108,70,2,1.9,21.2,81,1010.4,0.3,3.9
2019/4/17 8:00,监测点A2,9,89,106,66,3,1.7,22.2,77,1011.1,0.6,5
2019/4/17 9:00,监测点A2,10,53,101,59,19,1.1,23.3,68,1012,0.9,10.2
2019/4/17 10:00,监测点A2,9,51,47,25,40,1,24.2,64,1012,0.7,8.6
2019/4/17 11:00,监测点A2,9,47,53,35,79,1,24.8,60,1011.1,0.6,9
2019/4/17 12:00,监测点A2,6,38,54,31,112,0.9,26,56,1010.4,0.5,10.1
2019/4/17 13:00,监测点A2,5,35,46,29,162,0.9,26.4,55,1009.4,0.4,7.1
2019/4/17 14:00,监测点A2,4,37,50,36,203,1,26.9,55,1008.4,0.6,14.8
2019/4/17 15:00,监测点A2,5,43,67,50,232,1.1,27,55,1007.8,0.7,18.9
