监测时间,地点,SO2监测浓度(μg/m³),NO2监测浓度(μg/m³),PM10监测浓度(μg/m³),PM2.5监测浓度(μg/m³),O3监测浓度(μg/m³),CO监测浓度(mg/m³),温度(℃),湿度(%),气压(MBar),近地风速(m/s),风向(°)
2019/4/16 0:00,监测点A3,5,53,59,35,1,1.5,20.9,80,1012.4,1.8,317.5
2019/4/16 1:00,监测点A3,4,62,61,39,3,1.3,20.5,82,1011.8,1.5,348.9
2019/4/16 2:00,监测点A3,3,32,45,37,50,0.9,19.9,82,1010.7,1.6,68.6
2019/4/16 3:00,监测点A3,3,31,38,28,39,1,19.9,82,1009.8,2,68.2
2019/4/16 4:00,监测点A3,3,26,50,35,43,1,19.9,80,1009.4,2,74
2019/4/16 5:00,监测点A3,4,31,60,41,39,0.9,19.9,80,1009.5,1.4,86.4
2019/4/16 6:00,监测点A3,5,33,60,42,35,0.9,20.1,79,1009.7,0.8,115
2019/4/16 7:00,监测点A3,5,40,73,52,26,1,20.2,78,1010.9,1.6,354.4
2019/4/16 8:00,监测点A3,4,50,65,41,18,1.1,20,80,1012.1,2.7,339.2
2019/4/16 9:00,监测点A3,3,45,42,26,23,1,19.7,81,1012.5,2.1,2.8
2019/4/16 10:00,监测点A3,3,38,11,6,35,1.1,20.2,80,1012.2,1.3,102.9
2019/4/16 11:00,监测点A3,6,59,9,6,25,1.1,20.6,80,1012,1.2,171.8
2019/4/16 12:00,监测点A3,6,50,23,17,34,1.1,21.1,78,1010.4,2,145.5
2019/4/16 13:00,监测点A3,7,44,31,20,63,1,22.5,71,1010.1,1.8,347.7
2019/4/16 14:00,监测点A3,5,39,30,19,85,1,23.7,66,1009.2,1.8,345.8
2019/4/16 15:00,监测点A3,4,36,33,20,128,1,25.4,59,1008.7,1.8,340.9
2019/4/16 16:00,监测点A3,4,40,38,26,135,1,25.7,57,1008.7,1.9,336.6
2019/4/16 17:00,监测点A3,4,50,48,30,142,1.1,25.2,60,1008.9,1.9,337.3
2019/4/16 18:00,监测点A3,4,51,69,38,114,1.2,24.3,63,1008.8,2.2,343
2019/4/16 19:00,监测点A3,4,62,59,29,60,1.4,23.4,66,1009.2,0.8,330.4
2019/4/16 20:00,监测点A3,5,74,67,39,32,1.5,22.8,70,1010,0.7,315.8
2019/4/16 21:00,监测点A3,5,86,85,52,17,1.5,22.5,71,1010.7,0.6,320.9
2019/4/16 22:00,监测点A3,5,86,97,59,7,1.8,22.2,73,1011.2,0.4,254.8
2019/4/16 23:00,监测点A3,5,85,92,54,4,1.7,22,74,1011.2,0.5,312.7
2019/4/17 0:00,监测点A3,5,93,93,57,2,1.7,21.7,75,1011,0.5,293.6
2019/4/17 1:00,监测点A3,5,91,88,54,1,1.7,21.2,78,1010.6,0.3,311.4
2019/4/17 2:00,监测点A3,6,86,89,50,1,1.7,21.1,78,1010.1,0.4,275.8
2019/4/17 3:00,监测点A3,5,89,88,55,1,1.6,21.2,78,1009.4,0.6,325.7
